CookerStat, GenerateAssetRegistry=0.022121, Initialize=0.121679, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4939F3C142C900E4E828E5BBEE2A1BE8__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=447, Duration=2.649285, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFB7E5FB47118B42051C4FBE1A32A125__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=5909, Duration=2.121087, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2916FC064E50C335DB0F13A56F9109C1__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=447, Duration=3.211461, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B545048844826F90ED6F56981059FE7E__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=3261, Duration=3.768496, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A56521E74DF1A5C021B42CB5DDD7A43D__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=385, Duration=3.479708, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6DBDEBF246601BC84BE5D89A81853EB0__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.349432, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_327F04E74D5F9288871311AE53983596__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=3059, Duration=2.215113, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C6622481431A5FA761E8A0819619F11D__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=11703, Duration=2.918322, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A606684F49C71E1729158E93B50A0552__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=385, Duration=1.957137, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2DEB11B14D12C97527905595E2EB967F__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=687, Duration=1.995459, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EDCD2FBB41E262D06A3DE8B67A969FDD__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=423, Duration=1.831904, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E823FEA34AE4045711489A9044B36152__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=46644, Duration=2.023511, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
